time,open,high,low,close,Kalman
2023-10-23,0.4043,0.4217,0.3939,0.4207,0.42814041150007953
2023-10-24,0.4214,0.4598,0.4163,0.4342,0.42848030843645213
2023-10-25,0.4347,0.4503,0.42,0.4361,0.42890771531642274
2023-10-26,0.4352,0.4631,0.4179,0.4384,0.42944016046083905
2023-10-27,0.4419,0.4564,0.4207,0.4326,0.42961740348228594
2023-10-28,0.4334,0.4782,0.4334,0.4672,0.4317255019698749
2023-10-29,0.4669,0.4674,0.451,0.4526,0.43289640291239007
2023-10-30,0.4549,0.4739,0.4432,0.4636,0.4346186417267669
2023-10-31,0.4626,0.489,0.42,0.4431,0.435094381568067
2023-11-01,0.4412,0.4729,0.4256,0.4656,0.43680551527970835
2023-11-02,0.4667,0.4815,0.4418,0.4586,0.43802802049112277
2023-11-03,0.4578,0.4578,0.4317,0.4559,0.4390305029244845
2023-11-04,0.4531,0.52,0.4511,0.5072,0.4428542944212769
2023-11-05,0.5091,0.5232,0.4833,0.5031,0.4462336213416095
2023-11-06,0.4985,0.5375,0.4874,0.528,0.45082009471460877
2023-11-07,0.5259,0.5287,0.4924,0.5221,0.4548183565047943
2023-11-08,0.5224,0.6016,0.5176,0.5763,0.46163255485853694
2023-11-09,0.5759,0.6072,0.4879,0.5586,0.467071692705727
2023-11-10,0.558,0.63,0.535,0.6101,0.4750944953907344
2023-11-11,0.6107,0.6145,0.5687,0.5928,0.4816968810029533
2023-11-12,0.5927,0.646,0.5576,0.619,0.48939854406635425
2023-11-13,0.6196,0.659,0.6001,0.6001,0.495608055695177
2023-11-14,0.6014,0.6293,0.538,0.5661,0.4995621188476621
2023-11-15,0.5657,0.6209,0.56,0.6191,0.506267286874859
2023-11-16,0.6198,0.6412,0.55,0.5637,0.5094888262563827
2023-11-17,0.5652,0.586,0.525,0.5531,0.5119350821622904
2023-11-18,0.5534,0.5554,0.5151,0.545,0.5137897731414129
2023-11-19,0.5441,0.5667,0.529,0.5618,0.5164827825446064
2023-11-20,0.5617,0.5786,0.5438,0.5551,0.5186489153985728
2023-11-21,0.5525,0.5817,0.4989,0.5007,0.5176421174494397
2023-11-22,0.5021,0.5628,0.5021,0.5558,0.5197824851006206
2023-11-23,0.5555,0.5951,0.5529,0.588,0.5236089700197823
2023-11-24,0.5871,0.6412,0.5816,0.6274,0.5294308591860859
